filter_column,drop_column,test_col1,test_col2
46,drop_val_3_0,8463,text_val_A
83,drop_val_3_1,4195,text_val_B
86,drop_val_3_2,2135,text_val_B
58,drop_val_3_3,8394,text_val_C
71,drop_val_3_4,7537,text_val_A
50,drop_val_3_5,1643,text_val_C
92,drop_val_3_6,8715,text_val_A
93,drop_val_3_7,3029,text_val_B
34,drop_val_3_8,7398,text_val_A
8,drop_val_3_9,1259,text_val_B
3,drop_val_3_10,3833,text_val_C
17,drop_val_3_11,4851,text_val_C
95,drop_val_3_12,2305,text_val_A
10,drop_val_3_13,9159,text_val_B
80,drop_val_3_14,6349,text_val_B
92,drop_val_3_15,8603,text_val_C
57,drop_val_3_16,2903,text_val_C
7,drop_val_3_17,5296,text_val_B
25,drop_val_3_18,4110,text_val_C
1,drop_val_3_19,5988,text_val_B
