id,value1,value2,category
200,412,62.44,D
201,882,16.02,C
202,900,96.28,A
203,192,81.34,D
204,514,93.62,A
205,195,32.62,D
206,422,86.54,A
207,345,71.61,C
208,328,52.2,A
209,709,97.09,A
210,772,65.09,B
211,903,60.65,B
212,667,81.09,A
213,454,79.8,A
214,416,71.88,B
215,160,16.55,D
216,712,18.32,B
217,306,26.15,C
218,194,17.72,A
219,696,48.42,D
220,479,10.01,C
221,571,54.81,C
222,262,66.33,B
223,291,99.1,D
224,332,28.91,A
225,309,36.81,D
226,950,86.75,A
227,923,9.06,A
228,995,30.66,C
229,553,78.27,C
230,882,33.76,B
231,141,46.71,A
232,523,13.75,C
233,460,53.89,D
234,672,4.2,D
235,214,1.95,B
236,761,1.9,A
237,652,31.48,C
238,247,84.13,B
239,463,83.23,A
240,383,85.53,D
241,630,35.13,D
242,347,52.31,D
243,264,37.68,D
244,912,9.22,B
245,725,79.39,C
246,496,63.28,C
247,460,50.01,C
248,684,90.52,C
249,591,99.13,D
